FREQUENCY,NUMBER,WORDS,CATEGORY
41,5,Orient,Lexicon
41,5,Overjoyed,Lexicon
41,5,Pace of My Life,Lexicon
41,5,Patience,Lexicon
41,5,Porous,Lexicon
41,5,Potency,Lexicon
41,5,Praise,Lexicon
41,5,Pursue,Lexicon
41,5,Raining,Lexicon
41,5,Raphael,Angel
41,5,Released,Lexicon
41,5,Reminded,Lexicon
41,5,Repose,Lexicon
41,5,Right,Lexicon
41,5,Rise Up,Lexicon
41,5,Royal Way,Lexicon
41,5,Season,Lexicon
41,5,See Love,Lexicon
41,5,Sense,Lexicon
41,5,Sequence,Lexicon
41,5,Shift,Lexicon
41,5,Sibling,Lexicon
41,5,Skill,Lexicon
41,5,Spray,Lexicon
41,5,Spry,Lexicon
41,5,Stable,Lexicon
41,5,Storm,Lexicon
41,5,Stormy,Lexicon
41,5,Subtle,Lexicon
41,5,Suddenly,Lexicon
41,5,Sun Gem,Lexicon
41,5,Suns,Lexicon
41,5,Super,Lexicon
41,5,Tables,Lexicon
41,5,Teach Magic,Lexicon
41,5,Tenor,Lexicon
41,5,Thank,Lexicon
41,5,Thank You,Prayer
41,5,The Buddhic Body,Lexicon
41,5,The Good in You,Lexicon
41,5,The Image of You,Lexicon
41,5,Think,Lexicon
41,5,Tilt,Lexicon
41,5,Tingle,Lexicon
41,5,To Gaze,Lexicon
41,5,Total,Lexicon
41,5,Train,Lexicon
41,5,Tuath Dé,Lexicon
41,5,Turn,Lexicon
41,5,Unavoidable,Lexicon
41,5,Unbridled,Lexicon
41,5,Uplift,Lexicon
41,5,Utility,Lexicon
41,5,Verbal,Lexicon
41,5,Visual,Lexicon
41,5,We Choose,Lexicon
41,5,We Open,Lexicon
41,5,Weeks,Lexicon
41,5,Wise Guide,Lexicon
41,5,Yearning,Lexicon
41,5,You Are My Gold,Lexicon
42,6,A Beneficial Use,Lexicon
42,6,Abundant,Lexicon
42,6,Acceptable,Lexicon
42,6,Alpha + Omega,Lexicon
42,6,Always,Lexicon
42,6,An Honor,Lexicon
42,6,Analog of Life,Lexicon
42,6,Aquarius,Celestial
42,6,Azoth,Lexicon
42,8,Becoming Ocean,Lexicon
42,6,Been Made Ready,Lexicon
42,6,Belonging,Lexicon
42,6,Beneficial Use,Lexicon
42,6,Bright,Lexicon
42,6,Builders,Lexicon
42,6,Calibrate,Lexicon
42,6,Can You Feel It?,Lexicon
42,6,Celebrate,Lexicon
42,6,Challenge,Lexicon
42,6,Channeled,Lexicon
42,6,Clever,Lexicon
42,6,Clover,Lexicon
42,6,Color of Life,Lexicon
42,6,Composed,Lexicon
42,6,Condense,Lexicon
42,6,Connect,Lexicon
42,6,Cosmos,Lexicon
42,6,Darling,Lexicon
42,6,Delighted,Lexicon
42,6,Desirable,Lexicon
42,6,Diamonds,Oracle
42,6,Dodecahedron,Geometry
42,6,Dreams,Lexicon
42,6,Elevate,Lexicon
42,6,Elixir,Lexicon
42,6,Emergence,Lexicon
42,6,Emoting,Lexicon
42,6,Ephemere,Lexicon
42,6,Erupt,Lexicon
42,6,Fairy Queen,Lexicon
42,6,Far More,Lexicon
42,6,Feel Now,Lexicon
42,6,Fine-Tune,Lexicon
42,6,Fire King,Lexicon
42,6,Fire Queen,Lexicon
42,6,Fixated,Lexicon
42,6,Flexible,Lexicon
42,6,Fountain,Lexicon
42,6,Gate of Jubilee,Lexicon
42,6,Gold Angel,Lexicon
42,6,Golden Era,Lexicon
42,6,Good Memory,Lexicon
42,6,Good to Find,Lexicon
42,6,Gorgeous Day,Lexicon
42,6,Green Bubble,Lexicon
42,6,Hathor,Mythology
42,6,Hathor (Asteroid),Celestial
42,6,How Much,Lexicon
42,6,Humbling,Lexicon
42,6,Humming,Lexicon
42,6,I Am a Friend,Lexicon
42,6,I Am Beyond Ready,Lexicon
42,6,I Am Caring,Lexicon
42,6,I Celebrate You,Lexicon
42,6,I Feel Humbled,Lexicon
42,6,"I Love You, Too",Lexicon
42,6,Imagining,Lexicon
42,6,In Honor,Lexicon
42,6,Increase,Lexicon
42,6,Infinite,Lexicon
42,6,Infinity,Lexicon
42,6,Inflow,Lexicon
42,6,Inhaling,Lexicon
42,6,King Cutie,Lexicon
42,6,Kundalini,Lexicon
42,6,Larger,Lexicon
42,6,Legendary,Lexicon
42,6,Levity,Lexicon
42,6,Life Unbounded,Lexicon
42,6,Lilac Bush,Lexicon
42,6,Liquid Gold,Lexicon
42,6,Live It,Lexicon
42,6,Living,Lexicon
42,6,Loving,Lexicon
42,6,Luxury,Lexicon
42,6,Made New,Lexicon
42,6,Magnet,Lexicon
42,6,Meeting,Lexicon
42,6,More Basic,Lexicon
42,6,More for You,Lexicon
42,6,Much More,Lexicon
42,6,My Buddha Belly,Lexicon
42,6,My Friend,Lexicon
42,6,My Glow,Lexicon
42,6,My Golden Body,Lexicon
42,6,My Ideal of Home,Lexicon
42,6,My New Day,Lexicon
42,6,Name + Claim,Lexicon
42,6,Nest,Lexicon
42,6,New Life,Lexicon
42,6,Noble Man,Lexicon
42,6,Notes,Lexicon
42,6,Oraphim,Angel
42,6,Ordinary,Lexicon
42,6,Original Idea,Lexicon
42,6,Our Glory,Lexicon
42,6,Paragon,Lexicon
42,6,Party,Lexicon
42,6,Pass,Lexicon
42,6,Poetry,Lexicon
42,6,Precipice,Lexicon
42,6,Purity,Lexicon
42,6,Qualifying,Lexicon
42,6,Queen Cutie,Lexicon
42,6,Regular,Lexicon
42,6,Related,Lexicon
42,6,Relax,Lexicon
42,6,Repeat,Lexicon
42,6,Select,Lexicon
42,6,Sent,Lexicon
42,6,Shaman,Lexicon
42,6,Sight,Lexicon
42,6,Sincere,Lexicon
42,6,Slew,Lexicon
42,6,Slow,Lexicon
42,6,Solids,Lexicon
42,6,Soul Fire,Lexicon
42,6,Square,Geometry
42,6,Stone,Lexicon
42,6,Sulfur,Lexicon
42,6,Superb,Lexicon
42,6,Tablet,Lexicon
42,6,Tangible,Lexicon
42,6,The Call,Lexicon
42,6,The Chief Good,Lexicon
42,6,The Hero,Lexicon
42,6,The Peak,Lexicon
42,6,The Sage,Oracle
42,6,Timing,Lexicon
42,6,To Be Filled,Lexicon
42,6,To Imagine,Lexicon
42,6,To Live,Lexicon
42,6,To Love,Lexicon
42,6,Totem,Lexicon
42,6,Trip,Lexicon
42,6,Uproot,Lexicon
42,6,Violet,Color
42,6,Vital,Lexicon
42,6,Voice Is Key,Lexicon
42,6,Waking,Lexicon
42,6,Warm,Lexicon
42,6,Washed,Lexicon
42,6,Watch,Lexicon
42,6,Welcomed,Lexicon
42,6,You Can Depend,Lexicon
42,6,You Can Feel It,Lexicon
42,6,Your Glory,Lexicon
43,7,A Gift for You,Lexicon
43,7,A Large Orb,Lexicon
43,7,A Lone Figure,Lexicon
43,7,Accelerate,Lexicon
43,7,Accurately,Lexicon
43,7,Admiring,Lexicon
43,7,Artful,Lexicon
43,7,Arwen,Name
43,7,Assumed,Lexicon
43,7,Attune,Lexicon
43,7,Awesome,Lexicon
43,7,Batons,Lexicon
43,7,Be Yourself,Lexicon
43,7,Being Alive,Lexicon
43,7,Believing,Lexicon
43,7,Beryllium,Lexicon
43,7,Blue Dragon,Lexicon
43,7,Blue Galaxy,Lexicon
43,7,Bounteous,Lexicon
43,7,Brainard (Asteroid),Celestial
43,7,Centaur,Mythology
43,7,Center,Lexicon
43,7,Century,Lexicon
43,7,Certain,Lexicon
43,7,Charging,Lexicon
43,7,Cherish,Lexicon
43,7,Classic,Lexicon
43,7,Clear as Day,Lexicon
43,7,Concept,Lexicon
43,7,Concluding,Lexicon
43,7,Conscience,Lexicon
43,7,Continued,Lexicon
43,7,Creation,Lexicon
43,7,Critical,Lexicon
43,7,Curation,Lexicon
43,7,Definitely,Lexicon
43,7,Deliberate,Lexicon
43,7,Deliver,Lexicon
43,7,Delivery,Lexicon
43,7,Demanding,Lexicon
43,7,Details,Lexicon
43,7,Distil,Lexicon
43,7,Divine Lady,Lexicon
43,7,Dragon Egg,Lexicon
43,7,Dreaming,Lexicon
43,7,Each Act of Life,Lexicon
43,7,Each Word,Lexicon
43,7,Effective,Lexicon
43,7,Electric,Lexicon
43,7,Endorse,Lexicon
43,7,Enfolding,Lexicon
43,7,Entity,Lexicon
43,7,Equinox,Calendar
43,7,Essence,Lexicon
43,7,Evolve,Lexicon
43,7,Exchange,Lexicon
43,7,Explode,Lexicon
43,7,Fertile,Lexicon
43,7,Filter,Lexicon
43,7,Flaring,Lexicon
43,7,Full Moon,Calendar
43,7,Fully Enjoyed,Lexicon
43,7,Genuine Care,Lexicon
43,7,Glorious,Lexicon
43,7,Gold Sun,Lexicon
43,7,Good to Be Found,Lexicon
43,7,Good Word,Lexicon
43,7,Green Life,Lexicon
43,7,Grimoire,Lexicon
43,7,Happy Elf,Lexicon
43,7,Happy Life,Lexicon
43,7,Harmonic,Lexicon
43,7,Heavenly,Lexicon
43,7,Helping,Lexicon
43,7,Here We Go,Lexicon
43,7,Herks,Lexicon
43,7,Holy Grail,Lexicon
43,7,Humanity,Lexicon
43,7,I Am Amazed!,Lexicon
43,7,I Am an Equal,Lexicon
43,7,I Am Proud of You,Lexicon
43,7,I Am Whole,Lexicon
43,7,Idealist,Lexicon
43,7,Ignition,Lexicon
43,7,Impelled,Lexicon
43,7,Incalculable,Lexicon
43,7,Individual,Lexicon
43,7,Initiate,Lexicon
43,7,Intuit,Lexicon
43,7,Lattice,Lexicon
43,7,Legends,Lexicon
43,7,Liberated,Lexicon
43,7,Life of Faith,Lexicon
43,7,Links,Lexicon
43,7,Magicians,Lexicon
43,7,Mankind,Lexicon
43,7,Marriage,Lexicon
43,7,Monarch,Lexicon
43,7,Month,Lexicon
43,7,Moving,Lexicon
43,7,My Allies,Lexicon
43,7,My New Body,Lexicon
43,7,Mystic,Lexicon
43,7,Mythical,Lexicon
43,7,Nectar,Lexicon
43,7,New Blue Body,Lexicon
43,7,New Era,Lexicon
43,7,Objective,Lexicon
43,7,On Theme,Lexicon
43,7,Our Beliefs,Lexicon
43,7,Our Blue Bodies,Lexicon
43,7,Our Body Oracle,Lexicon
43,7,Our Own,Lexicon
43,7,Overcome,Lexicon
43,7,Overlaid,Lexicon
43,7,Owner,Lexicon
43,7,Parallel,Lexicon
43,7,Peace + Quiet,Lexicon
43,7,Poet Eyes,Lexicon
43,7,Poets,Lexicon
43,7,Pour Gold,Lexicon
43,7,Precious,Lexicon
43,7,Precise,Lexicon
43,7,Prove,Lexicon
43,7,Pure Gold,Lexicon
43,7,Pure Magic,Lexicon
43,7,Purely Good,Lexicon
43,7,Recent,Lexicon
43,7,Recount,Lexicon
43,7,Reemerge,Lexicon
43,7,Relieved,Lexicon
43,7,Religious,Lexicon
43,7,Renew,Lexicon
43,7,Repaired,Lexicon
43,7,Scorpio,Celestial
43,7,Seedling,Lexicon
43,7,Self-Image,Lexicon
43,7,Sexual,Lexicon
43,7,Sheath,Lexicon
43,7,Small,Lexicon
43,7,Smell,Lexicon
43,7,Solidity,Lexicon
43,7,Solitude,Lexicon
43,7,Step,Lexicon
43,7,Stop,Lexicon
43,7,Syllable,Lexicon
43,7,"Thank You, Baby",Lexicon
43,7,The Focus,Lexicon
43,7,The G.O.A.T.,Lexicon
43,7,The Gold Body,Lexicon
43,7,The Moon,Oracle
43,7,The Name,Lexicon
43,7,Titan,Lexicon
43,7,To Be Seen,Lexicon
43,7,Tuning,Lexicon
43,7,Unburdened,Lexicon
43,7,Undoubtedly,Lexicon
43,7,Unfolding,Lexicon
43,7,Unwind,Lexicon
43,7,Up to Us,Lexicon
43,7,Venus,Celestial
43,7,Vision,Lexicon
43,7,Vocabulary,Lexicon
43,7,Volvo,Lexicon
43,7,We Are Guided,Lexicon
43,7,We Are One,Lexicon
43,7,Wedding Day,Lexicon
43,7,You Are a Logos,Lexicon
43,7,You Are Becoming,Lexicon
43,7,You Have Been Good,Lexicon
43,7,Your Beliefs,Lexicon
43,7,Your Body Oracle,Lexicon
44,8,A Fiery Sun,Lexicon
44,8,A Genial Voice,Lexicon
44,8,A Magical City,Lexicon
44,8,Actively,Lexicon
44,8,Adorning,Lexicon
44,8,Aeon Sophia,Angel
44,8,Affiliation,Lexicon
44,8,Ageless,Lexicon
44,8,All Is One,Lexicon
44,8,Angel Voice,Lexicon
44,8,Aragorn,Name
44,8,Azure Blue,Lexicon
44,8,Baby Raven,Lexicon
44,8,Badge of Honor,Lexicon
44,8,Be Precise,Lexicon
44,8,Beginning,Lexicon
44,8,Billionaire,Lexicon
44,8,Blue Flash,Lexicon
44,8,Brown,Color
44,8,Cash Money,Lexicon
44,8,Catch Fire,Lexicon
44,8,Choose Decadence,Lexicon
44,8,Chronicle,Lexicon
44,8,Civility,Lexicon
44,8,Coming Home,Lexicon
44,8,Communion,Lexicon
44,8,Confirmed,Lexicon
44,8,Cooperate,Lexicon
44,8,Core Self,Lexicon
44,8,Cradling,Lexicon
44,8,Daughter,Lexicon
44,8,Deleting,Lexicon
44,8,Diligent,Lexicon
44,8,Dionysus,Mythology
44,8,Divine Life,Lexicon
44,8,Each Other,Lexicon
44,8,Earth God,Lexicon
44,8,Echoes Loudly,Lexicon
44,8,Egyptian,Lexicon
44,8,Empathy,Lexicon
44,8,Enacts,Lexicon
44,8,Enduring,Lexicon
44,8,Engender,Lexicon
44,8,Enriched by Joy,Lexicon
44,8,Entered,Lexicon
44,8,Ether God,Lexicon
44,8,Evening,Calendar
44,8,Event,Lexicon
44,8,Every Life,Lexicon
44,8,Feelings,Lexicon
44,8,Flavor,Lexicon
44,8,Format,Lexicon
44,8,Forming,Lexicon
44,8,Frequency,Lexicon
44,8,Function,Lexicon
44,8,Gathered,Lexicon
44,8,Geometry,Lexicon
44,8,God Source Code,Lexicon
44,8,Goodwill,Lexicon
44,8,Green Ray,Lexicon
44,8,Grow Joy,Lexicon
44,8,Happened,Lexicon
44,8,Happier,Lexicon
44,8,Heighten,Lexicon
44,8,High Law,Lexicon
44,8,Higher Life,Lexicon
44,8,Hold You Close,Lexicon
44,8,Hologram,Lexicon
44,8,Homecoming,Lexicon
44,8,Honor Life,Lexicon
44,8,Human Being,Lexicon
44,8,I Am Honored,Lexicon
44,8,Inner Guide,Lexicon
44,8,Invite,Lexicon
44,8,Journaled,Lexicon
44,8,Jubilant,Lexicon
44,8,Latitude,Lexicon
44,8,Lois Lane,Mythology
44,8,Longitude,Lexicon
44,8,Love for You,Lexicon
44,8,Love Seed,Lexicon
44,8,Lovebird,Lexicon
44,8,Luminary,Angel
44,8,Magnetic,Lexicon
44,8,Magnifier,Lexicon
44,8,Make Love,Lexicon
44,8,Merlin,Name
44,8,Migdal-Eder,Name
44,8,Mineral,Lexicon
44,8,My Design,Lexicon
44,8,My Heaven,Lexicon
44,8,My Path,Lexicon
44,8,Myrrh,Incense
44,8,New Eyes,Lexicon
44,8,Noble Role,Oracle
44,8,Old Friend,Lexicon
44,8,On Record,Lexicon
44,8,Open Wide,Lexicon
44,8,Oracle Card,Lexicon
44,8,Orator,Lexicon
44,8,Orgasm,Lexicon
44,8,Oriented,Lexicon
44,8,Osiris,Mythology
44,8,Our Book of Magic,Lexicon
44,8,Ovation,Lexicon
44,8,Panoply,Lexicon
44,8,Paradigm,Lexicon
44,8,Paradise,Lexicon
44,8,Physical,Lexicon
44,8,Pillar,Lexicon
44,8,Pisces,Celestial
44,8,Polyhedra,Geometry
44,8,Power,Lexicon
44,8,Prefer,Lexicon
44,8,Profound,Lexicon
44,8,Pursued,Lexicon
44,8,Quest,Lexicon
44,8,Radiant,Lexicon
44,8,Rainbow,Lexicon
44,8,Ranger,Lexicon
44,8,Rarity,Lexicon
44,8,Regulate,Lexicon
44,8,Role of Beauty,Oracle
44,8,Seers,Lexicon
44,8,Sequenced,Lexicon
44,8,Shifted,Lexicon
44,8,Sirius,Celestial
44,8,Skilled,Lexicon
44,8,Spacious,Lexicon
44,8,Spices,Lexicon
44,8,Sprayed,Lexicon
44,8,Spread,Lexicon
44,8,Symbiotic,Lexicon
44,8,Tenacious,Lexicon
44,8,Tender,Lexicon
44,8,Terra,Lexicon
44,8,The Body of Belief,Lexicon
44,8,The Union,Lexicon
44,8,Thoth,Lexicon
44,8,Tilted,Lexicon
44,8,Tornado,Lexicon
44,8,Trained,Lexicon
44,8,Uncommon,Lexicon
44,8,Uplifted,Lexicon
44,8,Vigilance,Lexicon
44,8,Vowel,Lexicon
44,8,We Imagine,Lexicon
44,8,We Love You,Lexicon
44,8,Wide Open,Lexicon
44,8,World,Lexicon
44,8,You Are Art,Lexicon
44,8,You Are Beautiful,Lexicon
44,8,You Are Happy,Lexicon
44,8,Zealous,Lexicon
45,9,A Life Theme,Lexicon
45,9,A Mobile Oracle,Lexicon
45,9,Acceptance,Lexicon
45,9,Accretion,Lexicon
45,9,Acquiring,Lexicon
45,9,Adorable Fire,Lexicon
45,9,Affirm Life,Lexicon
45,9,An Image of Us,Lexicon
45,9,An Upgrade ,Lexicon
45,9,Animals,Lexicon
45,9,Arising,Lexicon
45,9,Arizona,Place
45,9,Artsy,Lexicon
45,9,Aspect,Lexicon
45,9,Beauty Feels,Lexicon
45,9,Beck and Call,Lexicon
45,9,Become Aware,Lexicon
45,9,Become Refined,Lexicon
45,9,Beneficent,Lexicon
45,9,Brass,Color
45,9,Breadcrumb,Lexicon
45,9,Bright Idea,Lexicon
45,9,Bringer,Lexicon
45,9,Calibrated,Lexicon
45,9,Canvas,Lexicon
45,9,Co-Owner,Lexicon
45,9,Cocreation,Lexicon
45,9,Cognition,Lexicon
45,9,Come Join Us,Lexicon
45,9,Compelled,Lexicon
45,9,Condensed,Lexicon
45,9,Connected,Lexicon
45,9,Conscious,Lexicon
45,9,Consider,Lexicon
45,9,Create Life,Lexicon
45,9,Credibility,Lexicon
45,9,Crown,Lexicon
45,9,Dancers,Lexicon
45,9,Deep Green,Lexicon
45,9,Definition,Lexicon
45,9,Density,Lexicon
45,9,Depending,Lexicon
45,9,Destiny,Lexicon
45,9,Discern,Lexicon
45,9,Divine Ray,Lexicon
45,9,Double Down,Lexicon
45,9,Dramatic,Lexicon
45,9,Driven,Lexicon
45,9,Dynasty,Lexicon
45,9,Each Breath,Lexicon
45,9,Easy Happy,Lexicon
45,9,Echoing Loudly,Lexicon
45,9,Elevated,Lexicon
45,9,Emerging,Lexicon
45,9,Emitted,Lexicon
45,9,Enacting,Lexicon
45,9,Erupted,Lexicon
45,9,Ethereal,Lexicon
45,9,Expand,Lexicon
45,9,Expound,Lexicon
45,9,Eyes of Love,Lexicon
45,9,Fear Not,Lexicon
45,9,Fighter,Lexicon
45,9,Fine-Tuned,Lexicon
45,9,Fire Diamond,Lexicon
45,9,Fission,Lexicon
45,9,Floating,Lexicon
45,9,Flower,Lexicon
45,9,Fluid and Easy,Lexicon
45,9,Fortune,Lexicon
45,9,Foundation,Lexicon
45,9,Front,Lexicon
45,9,Fruition,Lexicon
45,9,Generous,Lexicon
45,9,Goddess Body,Lexicon
45,9,Gold Coins,Lexicon
45,9,Goldenrod,Color
45,9,Good Influence,Lexicon
45,9,Hand of Grace,Lexicon
45,9,Hedonism,Lexicon
45,9,Hermes,Mythology
45,9,Heroism,Lexicon
45,9,How Many,Lexicon
45,9,I See the Good,Lexicon
45,9,Idealistic,Lexicon
45,9,In Heaven,Lexicon
45,9,In Your Hand,Lexicon
45,9,Increased,Lexicon
45,9,Indefinite,Lexicon
45,9,Ineffability,Lexicon
45,9,Inside + Out,Lexicon
45,9,Inside-Out,Lexicon
45,9,Intact,Lexicon
45,9,It Is Done,Lexicon
45,9,Languages,Lexicon
45,9,Leather,Lexicon
45,9,Lightly,Lexicon
45,9,Lived Out,Lexicon
45,9,Lovelock,Lexicon
45,9,Made Aware,Lexicon
45,9,Magic Is Life,Lexicon
45,9,Magnificence,Lexicon
45,9,Massage,Lexicon
45,9,Merging,Lexicon
45,9,Merman,Mythology
45,9,Message,Lexicon
45,9,Milky Way,Celestial
45,9,More Money,Lexicon
45,9,My Angelic Guide,Lexicon
45,9,My Pixie Body,Lexicon
45,9,Need to Cocoon,Lexicon
45,9,Nested,Lexicon
45,9,New Car,Lexicon
45,9,Noticing,Lexicon
45,9,On My Mind,Lexicon
45,9,On Your Behalf,Lexicon
45,9,Organic Life,Lexicon
45,9,Our Flow,Lexicon
45,9,Our Honor,Lexicon
45,9,Outside-In,Lexicon
45,9,Pace of Our Life,Lexicon
45,9,Pallas,Mythology
45,9,Patchouli,Incense
45,9,Perceive,Lexicon
45,9,Pick + Choose,Lexicon
45,9,Poured Out,Lexicon
45,9,Primal,Lexicon
45,9,Privacy,Lexicon
45,9,Procedure,Lexicon
45,9,Producer,Lexicon
45,9,Refining,Lexicon
45,9,Reflect,Lexicon
45,9,Regal Being,Lexicon
45,9,Relaxed,Lexicon
45,9,Repeated,Lexicon
45,9,Reset,Lexicon
45,9,Resource,Lexicon
45,9,Rest,Lexicon
45,9,Rings,Lexicon
45,9,Rising,Lexicon
45,9,Role Model,Lexicon
45,9,Roots,Lexicon
45,9,Scene of Life,Lexicon
45,9,See the Good,Lexicon
45,9,Selected,Lexicon
45,9,Sending,Lexicon
45,9,Snuggle,Lexicon
45,9,So Happy,Lexicon
45,9,Soaring,Lexicon
45,9,Solemn,Lexicon
45,9,Spades,Lexicon
45,9,Stand,Lexicon
45,9,Star,Lexicon
45,9,Story,Lexicon
45,9,Sub-Logos,Lexicon
45,9,Synergy,Lexicon
45,9,Taurus,Celestial
45,9,Tenacity,Lexicon
45,9,"TFS, L1",Lexicon
45,9,"Thank You, Body",Prayer
45,9,The Bridge,Lexicon
45,9,The Family,Lexicon
45,9,The Medium,Lexicon
45,9,The Royal,Lexicon
45,9,Titanic,Lexicon
45,9,To Merge,Lexicon
45,9,To Rise,Lexicon
45,9,Torus,Geometry
45,9,Unbroken,Lexicon
45,9,Unchangeable,Lexicon
45,9,Uprooted,Lexicon
45,9,Utilize,Lexicon
45,9,Validate,Lexicon
45,9,Vibrancy,Lexicon
45,9,Want,Lexicon
45,9,We Believe,Lexicon
45,9,Yes Yes Yes,Lexicon
45,9,Yes Yes Yes,Lexicon
45,9,Yes. True.,Lexicon
45,9,You Are a Genius,Lexicon
45,9,You Create Life,Lexicon
45,9,Your Beck + Call,Lexicon
45,9,Your Flow,Lexicon
46,10,A Beautiful Home,Lexicon
46,10,A Cone Shape,Lexicon
46,10,Accelerated,Lexicon
46,10,Aim Well,Lexicon
46,10,Almighty,Lexicon
46,10,Altjira,Mythology
46,10,Amazing,Lexicon
46,10,An Amulet,Lexicon
46,10,An Angelic Guide,Lexicon
46,10,Angel Name,64 Angels
46,10,Angel of Beauty,64 Angels
46,10,Annals,Lexicon
46,10,Approach,Lexicon
46,10,Attuned,Lexicon
46,10,Aurora Fire,Lexicon
46,10,Awesome Idea,Lexicon
46,10,Begin Anew,Lexicon
46,10,Begin Now,Lexicon
46,10,Blazing,Lexicon
46,10,Blue Earth,Lexicon
46,10,Blue Light,Lexicon
46,10,Bravery,Lexicon
46,10,Break Open,Lexicon
46,10,Bronze,Color
46,10,Burst,Lexicon
46,10,Caress,Lexicon
46,10,"Cash Money, Baby",Lexicon
46,10,Ceremonial,Lexicon
46,10,Cerulean Blue,Lexicon
46,10,Chalice and Blade,Lexicon
46,10,Champagne,Lexicon
46,10,Cherished,Lexicon
46,10,Choice and Union,Lexicon
46,10,Comfort,Lexicon
46,10,Commendable,Lexicon
46,10,Companion,Lexicon
46,10,Coordinate,Lexicon
46,10,Creator,Lexicon
46,10,Creature,Lexicon
46,10,Cross,Lexicon
46,10,Curator,Lexicon
46,10,Decisively,Lexicon
46,10,Decoration,Lexicon
46,10,Deepest,Lexicon
46,10,Delivered,Lexicon
46,10,Direction,Lexicon
46,10,Easiest,Lexicon
46,10,Easy Flow,Lexicon
46,10,Efficiently,Lexicon
46,10,Element,Lexicon
46,10,Elucidating,Lexicon
46,10,Emotional,Lexicon
46,10,Emphatic,Lexicon
46,10,Enchant,Lexicon
46,10,Endorsed,Lexicon
46,10,Energies,Lexicon
46,10,Enhancing,Lexicon
46,10,Enrich Life,Lexicon
46,10,Erratic,Lexicon
46,10,Evolved,Lexicon
46,10,Exactly,Lexicon
46,10,Exchanged,Lexicon
46,10,Exploded,Lexicon
46,10,Eyes to See,Lexicon
46,10,Fantasy,Lexicon
46,10,Filtered,Lexicon
46,10,Find My Way,Lexicon
46,10,Finger of God,Celestial
46,10,Generate,Lexicon
46,10,Genesis,Name
46,10,Germ of Life,Geometry
46,10,Gnosis,Lexicon
46,10,GO Journal,Lexicon
46,10,Goblets,Lexicon
46,10,Golden City,Lexicon
46,10,Goodnight,Lexicon
46,10,Guarantee,Lexicon
46,10,Hatching,Lexicon
46,10,Hermit,Lexicon
46,10,High Feeling,Lexicon
46,10,Higher Use,Lexicon
46,10,Honor Us,Lexicon
46,10,I Am a Giver,Lexicon
46,10,I Am a Golden God,Lexicon
46,10,I Am a Light,Lexicon
46,10,I Am an Angel,Lexicon
46,10,I Am Impeccable,Lexicon
46,10,I Am Light,Lexicon
46,10,I Am Well,Lexicon
46,10,I Wonder,Lexicon
46,10,Ignoring,Lexicon
46,10,Immense,Lexicon
46,10,Initiated,Lexicon
46,10,Introduce,Lexicon
46,10,Intuited,Lexicon
46,10,Inward,Lexicon
46,10,Issuing,Lexicon
46,10,Iterate,Lexicon
46,10,Jerahmeel,Angel
46,10,Knight,Lexicon
46,10,Lean on Us,Lexicon
46,10,Legacy of Love,Lexicon
46,10,Made Whole,Lexicon
46,10,Magical Child,Lexicon
46,10,Magnifying,Lexicon
46,10,Meadows,Lexicon
46,10,Membrane,Lexicon
46,10,Memory of Good,Lexicon
46,10,Mental,Lexicon
46,10,Messiah,Lexicon
46,10,Mirth,Lexicon
46,10,Moonlet,Lexicon
46,10,Moonlit,Lexicon
46,10,Mother,Lexicon
46,10,My Baseline,Lexicon
46,10,My Heart,Lexicon
46,10,My Life Is Good,Lexicon
46,10,My Light,Lexicon
46,10,My Pride + Joy,Lexicon
46,10,Mythology,Lexicon
46,10,Nag Champa,Incense
46,10,Neville,Name
46,10,New Beauty,Lexicon
46,10,Next,Lexicon
46,10,No Limit,Lexicon
46,10,No Rush,Lexicon
46,10,Nourish,Lexicon
46,10,Now Ready,Lexicon
46,10,Obsess,Lexicon
46,10,Occupy Your Home,Lexicon
46,10,Only Love,Lexicon
46,10,Orders,Lexicon
46,10,Orgasmic,Lexicon
46,10,Our Friend,Lexicon
46,10,Our Glow,Lexicon
46,10,Our Ideal of Home,Lexicon
46,10,Practice,Lexicon
46,10,Prize,Lexicon
46,10,Profit,Lexicon
46,10,Provide,Lexicon
46,10,Purifying,Lexicon
46,10,Rank + File,Lexicon
46,10,Recounted,Lexicon
46,10,Red Rose,Lexicon
46,10,Red Wine,Lexicon
46,10,Regent,Lexicon
46,10,Renewed,Lexicon
46,10,Reverb,Lexicon
46,10,Rhombus,Geometry
46,10,Rich Soul,Lexicon
46,10,Rose Being,Lexicon
46,10,Rose Gold,Lexicon
46,10,Savor,Lexicon
46,10,Savory,Lexicon
46,10,Serve,Lexicon
46,10,Sheathed,Lexicon
46,10,Shekinah,Name
46,10,Simple,Lexicon
46,10,Simply,Lexicon
46,10,Sleuth,Lexicon
46,10,Sneeze,Lexicon
46,10,Speeding,Lexicon
46,10,Spoken,Lexicon
46,10,Summon,Lexicon
46,10,Sun Disc,Lexicon
46,10,Tarot,Lexicon
46,10,Tetra,Lexicon
46,10,"TFS, L2",Lexicon
46,10,The King,Lexicon
46,10,The Queen,Lexicon
46,10,The Seal,Lexicon
46,10,The Soul,Lexicon
46,10,Uriel + Ariel,Angel
46,10,Urriellu (Asteroid),Celestial
46,10,Vacation,Lexicon
46,10,Vividly,Lexicon
46,10,Vocation,Lexicon
